topic,x,y
24,8.585567,5.2702694
37,14.770759,8.73313
42,7.0335712,7.272749
-1,11.395261,6.1636906
18,12.928969,8.964181
45,14.537998,8.880366
34,15.099902,6.9987903
62,11.559682,5.217208
4,15.007791,7.035431
132,12.295679,3.7470863
43,12.700962,9.009261
192,12.374667,8.362514
8,13.57729,5.000447
189,14.727889,5.911554
148,11.518632,6.8776093
139,14.962399,8.217608
116,14.242952,8.62387
6,11.1138525,4.9295664
68,11.165508,3.6651301
11,14.478318,8.279904
107,15.06918,7.0819416
159,10.984629,8.08506
191,11.805675,3.9962566
3,11.104213,5.2672796
39,14.460861,8.381105
5,12.7588625,5.396052
121,11.457037,6.8980517
57,14.664132,5.891472
0,11.113621,8.068661
16,7.031352,7.3652086
170,8.860231,4.8020678
161,12.697932,5.4604297
156,9.610942,7.012762
2,11.363686,9.27093
1,12.256545,6.408194
94,10.694691,5.690757
209,12.066165,4.928757
38,10.287592,3.1718879
108,11.395594,4.6662135
12,13.14597,6.885047
64,14.055165,6.5606246
76,12.152964,5.4646783
160,11.18785,8.083481
97,13.503807,5.1177597
226,12.370062,6.796696
215,13.574447,6.540966
90,12.418747,3.7574062
231,12.194605,3.8330612
36,13.363619,6.005971
61,13.999526,8.796015
44,14.152013,8.164008
73,14.66576,7.387099
28,13.21416,6.20119
10,9.337558,5.5202117
52,11.217733,4.8338575
104,14.376192,9.002234
150,13.009491,7.2249866
82,12.780728,9.458178
75,13.178923,6.131083
133,13.662771,7.764417
212,9.415007,4.3484793
205,12.006237,4.21074
120,12.5063095,5.2235265
110,9.586494,7.672261
181,11.301831,6.7938814
100,12.168448,3.6912587
117,11.058375,3.5766683
20,3.9492924,4.9990563
210,9.270121,5.616827
23,5.37949,4.753949
14,4.0803475,5.336914
155,11.659238,8.416134
47,9.049997,5.2599
183,11.99825,3.9584508
30,12.995457,6.014318
26,7.415538,7.19159
29,14.27478,6.6962566
7,4.5313063,4.974922
81,3.9999735,4.7908
67,4.272652,5.0841637
56,10.674699,7.6984625
70,12.4566345,9.294869
27,9.127313,4.6161923
77,10.013559,6.4115076
188,10.296979,3.1676338
58,13.561961,7.0103674
9,3.9756556,4.964037
157,4.99373,5.712592
84,5.723706,4.8761454
60,10.723083,7.6541314
166,3.854183,4.669165
17,4.1319757,4.7595496
91,12.316373,4.2258754
144,10.62118,5.951019
172,11.978129,5.5965037
59,14.181676,6.19182
35,14.260834,6.2234383
21,13.634757,6.5854015
69,12.422574,7.4254127
22,11.273339,9.175626
118,11.229983,9.168961
93,6.519546,5.3223357
53,6.2488947,5.3762946
15,11.529951,7.5422482
32,11.5054035,7.6667957
169,11.049672,3.5621166
54,14.7566185,7.3726907
65,13.525753,7.4038954
85,11.273282,5.0781918
83,10.209801,6.614249
46,10.82231,5.4899383
174,11.285089,5.336628
31,9.838105,7.419132
177,9.597353,6.8853602
202,3.7935977,4.57348
112,14.726946,8.650219
220,11.980898,5.266472
167,9.525518,7.475215
125,6.1742005,6.5770917
51,11.213916,7.980756
63,15.227656,8.55265
48,4.915999,4.8756866
184,4.3036695,5.4339037
211,11.75738,5.887346
158,4.325757,4.5383286
79,4.0716877,4.6990776
135,8.866195,5.1467824
221,9.53151,5.9645925
103,9.481461,7.572576
72,12.033164,6.395512
92,6.8923373,7.095224
99,13.540646,7.6759853
87,14.392961,6.545053
19,13.135841,6.189287
199,4.3557897,4.6192093
71,13.61918,8.147817
200,12.888146,6.5931273
203,13.54222,6.0094953
123,13.540851,8.132366
124,12.327211,5.196056
33,12.953842,9.535978
234,11.493827,6.0595703
178,14.736979,8.733575
25,10.7059,7.8622456
185,13.694246,6.2132273
232,9.380638,7.5628657
225,9.255372,7.4504433
142,14.169213,7.696593
198,13.617973,7.058978
66,11.497009,7.3797846
193,12.3006315,7.059317
128,9.362326,5.968333
13,6.336337,5.3977127
131,4.600702,5.5652924
187,9.800435,3.1075826
95,13.076251,9.444714
50,12.621224,6.472791
179,12.237509,7.44462
217,15.125118,8.611664
49,9.733308,3.1460636
163,4.1878514,5.3476768
74,5.538991,5.975098
41,7.1219544,7.151847
223,11.360352,6.941296
98,3.9167361,4.7156014
229,9.235743,7.2358093
151,5.815614,6.0951104
162,4.74589,5.1358237
101,11.284499,3.834309
214,14.715715,8.375614
207,8.731693,6.596278
146,10.618956,7.5661993
105,11.856109,3.91499
233,15.233931,8.50459
130,13.287107,7.792563
222,3.8676097,4.5861125
196,5.533106,5.891499
182,9.256406,6.474558
190,11.938032,7.793235
171,14.193038,6.18925
194,11.666933,6.6248703
141,11.513552,5.605149
140,13.262355,8.629796
134,13.822871,7.1447687
204,13.448781,7.736513
147,12.229845,6.2007184
115,12.977612,7.6957684
86,13.3372555,7.964685
126,13.310208,8.597472
216,11.590858,5.885148
206,8.547021,6.710528
96,11.606032,3.7771943
113,11.2495775,9.202113
195,10.543354,7.4069076
127,9.662069,3.0295587
89,12.865951,7.2874284
119,12.437701,6.7436085
145,13.41868,8.827564
227,13.151432,7.181923
111,12.916702,9.095613
208,13.434027,5.1339207
197,4.6162667,5.3534474
175,11.703394,6.434399
88,6.0860257,6.1188097
80,14.859665,7.283731
224,11.312075,7.116669
129,6.0222855,5.6618166
201,6.754526,5.4543214
136,6.6281643,5.5867825
40,6.6644225,6.9792256
165,12.75785,7.6655045
149,13.739876,8.945171
154,9.528344,4.194147
152,5.913664,5.894564
186,8.793782,6.4960546
213,12.042097,6.370613
55,6.636154,6.960851
176,12.264725,7.0132813
114,9.52826,4.261334
122,9.792475,3.1532545
109,9.682082,3.0686054
168,14.712547,6.525321
164,9.549293,5.6749363
143,13.217482,9.332468
78,8.43529,4.6985917
153,9.919786,3.1164505
102,7.0565524,6.996753
137,14.143116,6.0749583
230,12.631296,9.487171
180,12.273579,7.4614987
138,6.374655,6.220561
219,8.856451,5.1318564
106,6.4494777,6.7374115
218,13.138564,7.6892686
173,7.0519423,7.297481
228,7.1960793,7.107149
